               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,           0.0087005,           0.0036327,                   0,             0.99797,             0.96603,             0.98559,             0.82999,            0.012889,           0.0045954,                   0,             0.00514,             0.00514,             0.00514
                  83,           0.0085541,           0.0034946,                   0,             0.99794,             0.96791,             0.98663,             0.82991,            0.013061,           0.0044063,                   0,             0.00508,             0.00508,             0.00508
                  84,           0.0084711,             0.00345,                   0,             0.99896,             0.96319,             0.98488,             0.83359,            0.013105,           0.0046344,                   0,             0.00502,             0.00502,             0.00502
                  85,           0.0084363,           0.0035144,                   0,             0.99587,             0.96256,             0.98477,             0.83075,            0.012749,           0.0046413,                   0,             0.00496,             0.00496,             0.00496
                  86,            0.008238,           0.0033921,                   0,             0.99586,             0.96039,             0.98299,             0.83857,            0.012749,           0.0047055,                   0,              0.0049,              0.0049,              0.0049
                  87,           0.0084657,           0.0032857,                   0,             0.99689,             0.96002,             0.98368,             0.83309,            0.013238,           0.0046674,                   0,             0.00484,             0.00484,             0.00484
                  88,           0.0084311,            0.003528,                   0,             0.99481,              0.9575,             0.98299,             0.84133,            0.012748,           0.0047435,                   0,             0.00478,             0.00478,             0.00478
                  89,           0.0084196,           0.0035542,                   0,             0.99557,             0.96404,              0.9857,             0.84265,             0.01276,           0.0043522,                   0,             0.00472,             0.00472,             0.00472
                  90,           0.0083846,           0.0034905,                   0,             0.99588,             0.96558,             0.98642,             0.84964,            0.012674,           0.0043454,                   0,             0.00466,             0.00466,             0.00466
                  91,           0.0083456,           0.0035219,                   0,             0.99626,             0.96104,             0.98395,             0.84473,            0.012734,           0.0045413,                   0,              0.0046,              0.0046,              0.0046
                  92,           0.0082699,           0.0035111,                   0,             0.99691,             0.96592,               0.986,             0.83405,            0.013253,            0.004436,                   0,             0.00454,             0.00454,             0.00454
                  93,           0.0086146,           0.0034263,                   0,             0.99793,             0.96338,             0.98547,              0.8329,            0.013538,           0.0044511,                   0,             0.00448,             0.00448,             0.00448
                  94,           0.0083594,           0.0033105,                   0,              0.9938,             0.96078,             0.98371,             0.84151,            0.012586,           0.0045838,                   0,             0.00442,             0.00442,             0.00442
                  95,           0.0086798,           0.0036129,                   0,             0.99587,             0.96279,             0.98509,             0.82873,            0.013307,           0.0045388,                   0,             0.00436,             0.00436,             0.00436
                  96,           0.0083913,           0.0034182,                   0,             0.99793,             0.96303,             0.98602,             0.83796,            0.013146,           0.0044271,                   0,              0.0043,              0.0043,              0.0043
                  97,           0.0081385,           0.0033878,                   0,             0.99896,             0.96254,             0.98571,             0.83644,            0.013125,           0.0045387,                   0,             0.00424,             0.00424,             0.00424
